NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,V_numerico,variavel_padronizada
6,Município,40,Mil Reais,60467,3500105,Adamantina (SP),215,Valor da produção,2017,2017,40106,Cana-de-açúcar,60467,valor_producao_mil_reais
6,Município,40,Mil Reais,55783,3500105,Adamantina (SP),215,Valor da produção,2018,2018,40106,Cana-de-açúcar,55783,valor_producao_mil_reais
6,Município,40,Mil Reais,60094,3500105,Adamantina (SP),215,Valor da produção,2019,2019,40106,Cana-de-açúcar,60094,valor_producao_mil_reais
6,Município,40,Mil Reais,51709,3500105,Adamantina (SP),215,Valor da produção,2020,2020,40106,Cana-de-açúcar,51709,valor_producao_mil_reais
6,Município,40,Mil Reais,98821,3500105,Adamantina (SP),215,Valor da produção,2021,2021,40106,Cana-de-açúcar,98821,valor_producao_mil_reais
6,Município,40,Mil Reais,102980,3500105,Adamantina (SP),215,Valor da produção,2022,2022,40106,Cana-de-açúcar,102980,valor_producao_mil_reais
6,Município,40,Mil Reais,103705,3500105,Adamantina (SP),215,Valor da produção,2023,2023,40106,Cana-de-açúcar,103705,valor_producao_mil_reais
6,Município,40,Mil Reais,113573,3500105,Adamantina (SP),215,Valor da produção,2024,2024,40106,Cana-de-açúcar,113573,valor_producao_mil_reais
6,Município,1006,Hectares,-,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2000,2000,40106,Cana-de-açúcar,,area_plantada_ha
6,Município,1006,Hectares,8000,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2001,2001,40106,Cana-de-açúcar,8000,area_plantada_ha
6,Município,1006,Hectares,-,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2002,2002,40106,Cana-de-açúcar,,area_plantada_ha
6,Município,1006,Hectares,-,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2003,2003,40106,Cana-de-açúcar,,area_plantada_ha
6,Município,1006,Hectares,968,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2004,2004,40106,Cana-de-açúcar,968,area_plantada_ha
6,Município,1006,Hectares,1104,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2005,2005,40106,Cana-de-açúcar,1104,area_plantada_ha
6,Município,1006,Hectares,1114,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2006,2006,40106,Cana-de-açúcar,1114,area_plantada_ha
6,Município,1006,Hectares,3418,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2007,2007,40106,Cana-de-açúcar,3418,area_plantada_ha
6,Município,1006,Hectares,4954,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2008,2008,40106,Cana-de-açúcar,4954,area_plantada_ha
6,Município,1006,Hectares,4384,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2009,2009,40106,Cana-de-açúcar,4384,area_plantada_ha
6,Município,1006,Hectares,4461,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2010,2010,40106,Cana-de-açúcar,4461,area_plantada_ha
6,Município,1006,Hectares,4461,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2011,2011,40106,Cana-de-açúcar,4461,area_plantada_ha
6,Município,1006,Hectares,4461,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2012,2012,40106,Cana-de-açúcar,4461,area_plantada_ha
6,Município,1006,Hectares,4461,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2013,2013,40106,Cana-de-açúcar,4461,area_plantada_ha
6,Município,1006,Hectares,6209,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2014,2014,40106,Cana-de-açúcar,6209,area_plantada_ha
6,Município,1006,Hectares,6309,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2015,2015,40106,Cana-de-açúcar,6309,area_plantada_ha
6,Município,1006,Hectares,5809,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2016,2016,40106,Cana-de-açúcar,5809,area_plantada_ha
6,Município,1006,Hectares,7320,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2017,2017,40106,Cana-de-açúcar,7320,area_plantada_ha
6,Município,1006,Hectares,7266,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2018,2018,40106,Cana-de-açúcar,7266,area_plantada_ha
6,Município,1006,Hectares,7016,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2019,2019,40106,Cana-de-açúcar,7016,area_plantada_ha
6,Município,1006,Hectares,5015,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2020,2020,40106,Cana-de-açúcar,5015,area_plantada_ha
6,Município,1006,Hectares,5015,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2021,2021,40106,Cana-de-açúcar,5015,area_plantada_ha
6,Município,1006,Hectares,6376,3500204,Adolfo (SP),8331,Área plantada ou destinada à colheita,2022,2022,40106,Cana-de-açúcar,6376,area_plantada_ha
